,,,,Haversian canals,Haversian canals,Haversian canals,Haversian canals,Haversian canals,Haversian canals,Haversian canals,Haversian canals,Osteocytes,Osteocytes,Osteocytes,Osteocytes,Osteocytes,Osteocytes,Osteocytes,Osteocytes,Cement lines,Cement lines,Cement lines,Cement lines,Cement lines,Cement lines,Cement lines,Cement lines
,,,,Density (%),Area (um2),Number (-),L1 (um),L2 (um),Aspect Ratio (-),Characteristic Length (um),Thickness (um),Density (%),Area (um2),Number (-),L1 (um),L2 (um),Aspect Ratio (-),Characteristic Length (um),Thickness (um),Density (%),Area (um2),Number (-),L1 (um),L2 (um),Aspect Ratio (-),Characteristic Length (um),Thickness (um)
Donor,Side,Site,ROI,,,,,,,,,,,,,,,,,,,,,,,,
1,Right,Diaphysis,1,10.928117504945641,4405.458074,4,88.94832499950927,54.27613489820647,1.5173832712034485,66.37362483697873,,6.362184605557331,121.08217066666668,117,14.158867693728443,10.401204125437138,1.3948526786260187,11.003734396406825,,15.08930545660025,,,,,,,3.0555293931953504
1,Right,Diaphysis,2,9.328443129497032,397.16410800000006,1,24.490085577959096,20.855437012435047,1.1742782260259947,19.928976591887505,,4.40893951827002,113.56426754545456,88,13.827564318606091,10.161389675396457,1.414229623555491,10.656653674838765,,14.074914321571656,,,,,,,2.97042198492415
1,Right,Diaphysis,3,10.65982738397437,1833.191358,4,51.097167348758454,39.63278490066659,1.3941400448637111,42.815783982078386,,8.063078068662799,141.79571058267717,127,15.849963622491465,11.071354294556428,1.4749622876863626,11.907800409088034,,14.74613967706537,,,,,,,2.9173115924216138
1,Right,Diaphysis,4,3.6934752542847638,1389.5273200000001,3,47.738459235383964,35.566372653801544,1.3681982502245045,37.276364093081824,,9.262196368924538,141.1340392151899,158,16.11888671959506,10.862949177159239,1.5094437007426513,11.879984815444416,,13.162762162284986,,,,,,,2.895044283631484
1,Right,Diaphysis,5,12.586001645629452,2217.7731320000003,2,55.98300732179476,50.5023900402356,1.1139155017817508,47.09323870790796,,5.7623656290837,121.0786638846154,104,14.239879277247416,10.40924909054435,1.3872585428855966,11.003575050165077,,12.92414145308346,,,,,,,2.994690818815796
1,Right,Diaphysis,6,13.11032720015406,6728.813400000001,2,118.83438922308011,63.29334870482872,1.734456426851736,82.02934474930298,,6.010205058203083,110.63552637288136,118,13.670686422105035,9.820462781352717,1.4175562730989206,10.51834237762212,,16.52806391005848,,,,,,,3.0099335888907133
1,Right,Diaphysis,7,3.0868682270968644,2572.266716,3,60.70476247672411,49.354383730486305,1.2081540774661432,50.717518827324355,,10.36033798338986,142.61429065909093,176,16.05609174334415,10.796643237675069,1.5076084905742881,11.942122535759333,,14.54403403317512,,,,,,,2.755019608554143
1,Right,Diaphysis,8,7.836434936363158,4577.781344,4,79.55090359989667,69.94589215896008,1.1463241097867995,67.65930345488343,,6.212395348064147,125.55460975438596,114,15.134512696707239,10.29243391826846,1.5107526292036484,11.205115338736409,,12.069579587708176,,,,,,,3.2059357963229616
1,Right,Diaphysis,9,8.41940792353075,3247.883346,2,64.42677513133383,59.4340144940427,1.09576971212152,56.99020394769614,,7.0266240376206115,146.24352316363635,110,15.990979045067771,11.15025256693561,1.4376963295138074,12.093118835256535,,16.8346499591392,,,,,,,3.1844244642431496
1,Right,Diaphysis,10,11.101871465835682,1078.4336706666668,3,42.651181751649155,31.891303321390325,1.391184232422216,32.839513861606825,,6.7399245758623065,117.94053574803151,127,14.120501584924686,10.126088803962139,1.4091671233883745,10.860043082236437,,19.185891944583936,,,,,,,3.1921506215784974
1,Right,Diaphysis,11,5.163600077029463,1702.444496,4,49.88875016837671,35.42286927923004,1.368348949812514,41.26068947557712,,6.569875303434463,121.686213875,128,14.167223978883621,10.502892499974868,1.3661743326609068,11.031147441449598,,13.68616338849764,,,,,,,2.938982801622616
1,Right,Diaphysis,12,4.213424134731534,1696.9739160000001,4,69.8745563001822,33.925065404041334,2.1701109928924938,41.19434325244183,,8.244652901209466,119.64987335757577,165,14.80837971892208,9.978243519322985,1.5002280819374554,10.93845845435159,,17.69237447282929,,,,,,,2.858426611214623
1,Right,Diaphysis,13,13.75982563330474,8196.022956,1,140.9157626090762,74.35906835302931,1.895071653400233,90.5318891661938,,3.102337029612525,104.5051735625,64,13.048849849154378,9.651778022330143,1.3757069356677936,10.222777194211952,,13.020376056230809,,,,,,,2.923635750333517
1,Right,Diaphysis,14,8.078027345459638,9845.949884000001,2,123.91482288418973,97.54433502140887,1.2451784260851482,99.2267599188848,,7.2971570321911,129.9877660155039,129,14.857612514264527,10.856775571634863,1.3904992685077406,11.40121774265819,,12.945954567746051,,,,,,,3.1129639394414577
1,Right,Diaphysis,15,5.6349678752122685,1823.7090193333333,6,59.29146534933155,33.59906185616766,1.778039271467035,42.7049062677034,,6.942660093038788,117.82606046043166,139,14.12275804925128,10.288767279798913,1.3926035215593113,10.8547713223463,,13.16874527501171,,,,,,,2.9105963088194784
1,Right,Diaphysis,16,12.70986152203218,1573.3388080000002,2,66.705014475793,33.16734098957411,2.4488346435090875,39.66533509249607,,5.668759150438218,107.56587387826087,115,13.377154482836781,9.927599419488988,1.3692451594835822,10.371396910650988,,16.25017548785624,,,,,,,3.1074620717175216
1,Right,Diaphysis,17,9.285551723534253,3969.9999060000005,4,80.24645998857662,60.089701102772125,1.3040318850278352,63.00793526215568,,6.103209371441804,119.31523620689656,116,14.257762900599644,10.309113695618263,1.4235789807177708,10.923151386248227,,15.527240094949533,,,,,,,2.9994631486973478
