accuracy,loss,weighted_accuracy,val_accuracy,val_loss,val_weighted_accuracy
0.3708420395851135,0.09182323515415192,0.364154189825058,0.8301254510879517,0.08915196359157562,0.8314650654792786
0.8264580965042114,0.08457406610250473,0.8253651261329651,0.8295289874076843,0.07597652077674866,0.8309497237205505
0.8240509629249573,0.06512156128883362,0.8229865431785583,0.8294520378112793,0.05706517770886421,0.8308852910995483
0.8276728391647339,0.05731962248682976,0.8266113996505737,0.8329316973686218,0.05530912056565285,0.8343051671981812
0.8288041949272156,0.054656460881233215,0.8276970386505127,0.8329250812530518,0.053236622363328934,0.8342947959899902
0.8288037180900574,0.052797842770814896,0.8276962041854858,0.8329250812530518,0.05172407627105713,0.8342947959899902
0.8288037180900574,0.05143122002482414,0.8276961445808411,0.8329250812530518,0.050492655485868454,0.8342947959899902
0.8288037180900574,0.05023272708058357,0.8276961445808411,0.8329250812530518,0.049337852746248245,0.8342947959899902
0.8288037180900574,0.04920750483870506,0.8276962041854858,0.8329250812530518,0.04830070957541466,0.8342947959899902
0.8288037180900574,0.04822796210646629,0.8276962637901306,0.8329250812530518,0.047252949327230453,0.8342947959899902
0.8288037180900574,0.047182872891426086,0.8276960849761963,0.8329250812530518,0.04591832682490349,0.8342947959899902
0.8288037180900574,0.045728377997875214,0.8276960253715515,0.8329250812530518,0.04496713727712631,0.8342947959899902
0.8288037180900574,0.04403410106897354,0.8276960253715515,0.8329250812530518,0.0427672378718853,0.8342947959899902
0.8288037180900574,0.042284417897462845,0.8276961445808411,0.8329250812530518,0.04127473384141922,0.8342947959899902
0.8288037180900574,0.04118579998612404,0.8276962041854858,0.8329250812530518,0.04049132019281387,0.8342947959899902
0.8288037180900574,0.04014410823583603,0.8276962041854858,0.8329250812530518,0.03943684324622154,0.8342947959899902
0.8288037180900574,0.03872067108750343,0.8276960849761963,0.8329250812530518,0.03770608454942703,0.8342947959899902
0.8288037180900574,0.037322551012039185,0.8276962041854858,0.8329250812530518,0.035821184515953064,0.8342947959899902
0.8288035988807678,0.037814266979694366,0.8276961445808411,0.8329250812530518,0.037334710359573364,0.8342947959899902
0.8308916687965393,0.036745667457580566,0.8305487036705017,0.8453363180160522,0.03565135598182678,0.8512828350067139
0.8465144634246826,0.036173392087221146,0.8532614707946777,0.8728384375572205,0.03402175009250641,0.8889963626861572
0.8710787892341614,0.034396130591630936,0.886212170124054,0.8762438893318176,0.032123103737831116,0.8939173221588135
0.8718735575675964,0.03183560073375702,0.8889625668525696,0.8759538531303406,0.029375137761235237,0.8943558931350708
